RESOURCETYPE,CERTIFICATION,ENABLED
84codes.CloudAMQP/servers,,
AppDynamics.APM/locations/operationResults,,
AppDynamics.APM/services,,
Aspera.Transfers/services,,
Citrix.Cloud/accounts,,
CloudSimple.PrivateCloudIaaS/operations,,
Cloudyn.Analytics/accounts,,
Conexlink.MyCloudIT/accounts,,
Crypteron.DataSecurity/apps,,
Dynatrace.Ruxit/accounts,,
LiveArena.Broadcast/services,,
Lombiq.DotNest/sites,,
Mailjet.Email/services,,
Microsoft.AAD/DomainServices,,
Microsoft.AAD/locations,PROTECTED,TRUE
Microsoft.AAD/locations/operationresults,PROTECTED,TRUE
Microsoft.AAD/operations,PROTECTED,TRUE
microsoft.aadiam/operations,PROTECTED,TRUE
Microsoft.Addons/operationResults,,
Microsoft.Addons/operations,,
Microsoft.Addons/supportProviders,,
Microsoft.ADHybridHealthService/aadsupportcases,,TRUE
Microsoft.ADHybridHealthService/addsservices,,TRUE
Microsoft.ADHybridHealthService/agents,,TRUE
Microsoft.ADHybridHealthService/anonymousapiusers,,TRUE
Microsoft.ADHybridHealthService/configuration,,TRUE
Microsoft.ADHybridHealthService/logs,,TRUE
Microsoft.ADHybridHealthService/operations,,TRUE
Microsoft.ADHybridHealthService/reports,,TRUE
Microsoft.ADHybridHealthService/servicehealthmetrics,,TRUE
Microsoft.ADHybridHealthService/services,,TRUE
Microsoft.AnalysisServices/locations/checkNameAvailability,,
Microsoft.AnalysisServices/locations/operationresults,,
Microsoft.AnalysisServices/locations/operationstatuses,,
Microsoft.AnalysisServices/operations,,
Microsoft.AnalysisServices/servers,,
Microsoft.ApiManagement/service,UDLM,TRUE
Microsoft.Automation/automationAccounts,PROTECTED,TRUE
Microsoft.Automation/automationAccounts/configurations,PROTECTED,TRUE
Microsoft.Automation/automationAccounts/jobs,PROTECTED,TRUE
Microsoft.Automation/automationAccounts/runbooks,PROTECTED,TRUE
Microsoft.Automation/automationAccounts/softwareUpdateConfigurations,PROTECTED,TRUE
Microsoft.Automation/automationAccounts/webhooks,PROTECTED,TRUE
Microsoft.Automation/operations,PROTECTED,TRUE
